name2	S	ThetaW	ThetaPi	ThetaH	TajD	seqbp
GRMZM2G043799	18	3.78384	5.40611	6.18	1.29896	292
GRMZM2G043802	7	1.50587	2.74734	0.38592	2.12468	137
GRMZM2G043813	4	0.847671	0.928629	0.0913548	0.206452	208
GRMZM2G043819	1	0.208796	0.0579456	0.00175593	-0.899693	103
GRMZM2G043822	0	0	0	0	NA	194
GRMZM2G043843	5	1.06507	1.99754	0.395518	2.03757	125
GRMZM2G043854	5	1.07093	1.37882	NA	0.672775	152
GRMZM2G043857	13	2.75671	3.28191	5.98962	0.552789	534
GRMZM2G043862	7	1.48098	2.04716	1.51855	0.968966	144
GRMZM2G043878	4	0.846229	0.630846	0.068898	-0.549251	191
GRMZM2G043879	12	2.54165	2.82958	6.51859	0.323551	566
GRMZM2G043884	4	0.880348	0.93663	NA	0.143525	40
GRMZM2G043887	4	0.83524	1.44626	2.23996	1.55817	221
GRMZM2G043893	19	4.01071	5.47201	4.4877	1.11689	404
GRMZM2G043903	5	1.05208	1.30301	2.6062	0.548305	109
GRMZM2G043921	0	0	NA	NA	NA	NA
GRMZM2G043926	8	1.67323	2.04074	6.276	0.568609	430
GRMZM2G043932	1	0.214445	0.508475	NA	1.75363	92
GRMZM2G043943	6	1.29625	1.45927	0.0876793	0.312595	212
GRMZM2G043948	25	5.27049	6.55933	8.30019	0.77454	361
GRMZM2G043955	6	1.26231	1.43116	2.20281	0.323752	300
GRMZM2G043958	0	0	NA	NA	NA	NA
GRMZM2G043976	0	0	0	NA	NA	87
GRMZM2G043980	1	0.2324	0.0929152	0.00464576	-0.831902	33
GRMZM2G043983	6	1.26344	0.800156	3.22406	-0.888337	202
GRMZM2G043992	1	0.208796	0.0856014	0	-0.73475	280
GRMZM2G043995	4	0.839203	1.14378	1.25407	0.776706	266
GRMZM2G044004	11	2.34796	3.13265	3.78786	0.946011	286
GRMZM2G044011	13	2.7525	2.01139	2.06111	-0.780052	262
GRMZM2G044023	5	1.05497	0.509363	5.81848	-1.19221	421
GRMZM2G044027	13	2.72416	5.00911	3.87002	2.405	240
GRMZM2G044038	19	4.00359	3.59263	7.537	-0.314102	270
GRMZM2G044044	0	0	0	0	NA	157
GRMZM2G044049	3	0.629087	0.939053	0.0948039	0.956578	275
GRMZM2G044055	18	3.78027	5.50312	5.98356	1.37949	584
GRMZM2G044060	21	4.43628	3.43266	9.31213	-0.703249	526
GRMZM2G044062	0	0	0	NA	NA	19
GRMZM2G044070	0	0	0	NA	NA	209
GRMZM2G044074	14	2.95361	2.53262	0.661981	-0.416783	280
GRMZM2G044077	1	0.223254	0.115102	NA	-0.645031	226
GRMZM2G044085	18	3.79043	4.71262	1.09313	0.738407	480
GRMZM2G044096	10	2.11535	2.29093	4.84683	0.228387	519
GRMZM2G044100	9	1.88984	3.57018	3.88185	2.37411	398
GRMZM2G044107	11	2.35757	2.97494	3.04643	0.744291	548
GRMZM2G044116	2	0.416328	0.966698	1.08565	2.19076	187
GRMZM2G044126	14	2.96759	3.43232	1.66088	0.460089	292
GRMZM2G044128	19	4.01057	5.4626	7.40105	1.10981	408
GRMZM2G044132	3	0.662883	1.14916	0.0338445	1.50068	171
GRMZM2G044137	1	0.212935	0.252247	NA	0.234463	56
GRMZM2G044143	26	5.46829	2.30338	25.5075	-1.83671	2017
GRMZM2G044150	0	0	0	NA	NA	72
GRMZM2G044152	1	0.217694	0.135065	0.0103896	-0.492807	196
GRMZM2G044174	0	0	0	NA	NA	20
GRMZM2G044175	4	0.832656	0.460979	0.014063	-0.947817	174
GRMZM2G044180	0	0	NA	NA	NA	NA
GRMZM2G044194	2	0.438682	0.198545	NA	-0.955871	51
GRMZM2G044198	6	1.27494	0.828877	5.12052	-0.855314	190
GRMZM2G044236	10	2.11262	1.2454	5.2424	-1.12803	135
GRMZM2G044237	4	0.839203	0.771587	2.30465	-0.172428	328
GRMZM2G044247	11	2.29429	2.5355	9.13868	0.290802	216
GRMZM2G044251	1	0.212935	0.317292	0.0761502	0.622399	73
GRMZM2G044265	1	0.210116	0.507226	0.538928	1.772	77
GRMZM2G044269	13	2.74667	4.49114	2.04235	1.83613	784
GRMZM2G044273	23	4.83888	6.17811	6.5321	0.866457	379
GRMZM2G044281	1	0.208796	0.0294118	1.97059	-1.06987	444
GRMZM2G044301	9	1.8985	0.567874	7.70196	-1.88001	502
GRMZM2G044317	1	0.208796	0.210711	0.0280948	0.0114192	52
GRMZM2G044322	12	2.56759	3.09389	0.399819	0.591427	318
GRMZM2G044337	9	1.90851	2.3104	1.26697	0.56782	299
GRMZM2G044343	8	1.67325	2.82547	4.10972	1.78272	485
GRMZM2G044348	6	1.26009	1.04036	0.164262	-0.421326	191
GRMZM2G044354	8	1.68152	1.39142	6.25031	-0.44885	189
GRMZM2G044358	2	0.439773	0.998774	0.325424	2.22512	250
GRMZM2G044359	5	1.07115	1.15957	0.0280948	0.193206	375
GRMZM2G044372	0	0	0	NA	NA	2
GRMZM2G044382	12	2.52091	2.64896	6.93815	0.143894	295
GRMZM2G044383	4	0.85229	1.14598	NA	0.748938	165
GRMZM2G044388	12	2.53834	2.4418	0.399198	-0.108487	240
GRMZM2G044394	0	0	0	NA	NA	110
GRMZM2G044398	0	0	0	0	NA	250
GRMZM2G044422	10	2.12536	3.67179	1.13389	2.0115	159
GRMZM2G044423	1	0.207531	0.134576	0.010352	-0.435117	136
GRMZM2G044440	5	1.04404	0.838452	1.99779	-0.449228	111
GRMZM2G044442	13	2.73096	5.66391	3.8726	3.08705	305
GRMZM2G044448	8	1.68116	1.74634	1.72542	0.10085	235
GRMZM2G044457	13	2.7725	2.50597	2.80361	-0.280538	255
GRMZM2G044460	8	1.68759	2.61206	2.16031	1.43034	163
GRMZM2G044472	0	0	0	NA	NA	18
GRMZM2G044493	0	0	0	NA	NA	38
GRMZM2G044495	17	3.54717	3.14627	7.74936	-0.337079	315
GRMZM2G044498	23	4.82729	5.20718	5.65461	0.24578	159
GRMZM2G044501	16	3.36857	3.35869	14.0634	-0.00874771	291
GRMZM2G044503	2	0.462285	0.26591	0	-0.781677	23
GRMZM2G044512	16	3.33453	4.73597	2.88038	1.24054	256
GRMZM2G044527	7	1.46871	1.53663	1.39474	0.116232	205
GRMZM2G044531	3	0.633622	0.408495	3.68106	-0.694756	352
GRMZM2G044537	0	0	0	NA	NA	57
GRMZM2G044550	5	1.04409	1.53849	2.8356	1.08033	251
GRMZM2G044552	6	1.25938	1.37722	0.166975	0.225962	128
GRMZM2G044569	6	1.25697	1.57703	4.59167	0.613705	212
GRMZM2G044576	5	1.06816	1.8538	0.30334	1.71671	284
GRMZM2G044581	7	1.46932	1.79278	0.636629	0.553578	257
GRMZM2G044584	3	0.626389	0.994732	1.03512	1.13673	98
GRMZM2G044591	7	1.48003	2.06201	NA	0.996027	353
GRMZM2G044625	2	0.435476	0.203348	NA	-0.923991	196
GRMZM2G044627	8	1.68969	1.97532	1.44416	0.441922	167
GRMZM2G044629	25	5.27978	7.519	11.295	1.34568	345
GRMZM2G044636	9	1.92643	2.52709	2.38848	0.848647	339
GRMZM2G044670	2	0.423051	0.30529	1.9697	-0.468753	265
GRMZM2G044681	12	2.51244	3.37808	4.88542	0.972755	748
GRMZM2G044684	8	1.69082	2.19719	2.87671	0.783459	185
GRMZM2G044697	21	4.43661	5.13872	6.56295	0.491977	403
GRMZM2G044720	0	0	0	NA	NA	79
GRMZM2G044724	34	7.1675	9.27737	7.9603	0.961075	483
GRMZM2G044733	5	1.04559	0.916164	6.76451	-0.282813	429
GRMZM2G044736	0	0	0	NA	NA	40
GRMZM2G044740	3	0.638874	0.530968	0	-0.333007	205
GRMZM2G044744	12	2.54848	3.31391	8.02658	0.860152	593
GRMZM2G044752	8	1.69276	2.32163	0.672077	0.972992	151
GRMZM2G044762	7	1.48749	2.41075	0.448293	1.58008	179
GRMZM2G044771	1	0.229885	0.494715	0.342495	1.57947	56
GRMZM2G044773	1	0.211494	0.0907738	NA	-0.71999	224
GRMZM2G044775	0	0	0	NA	NA	81
GRMZM2G044788	3	0.631726	0.150597	NA	-1.4848	66
GRMZM2G044797	20	4.18694	5.08794	6.45449	0.658736	371
GRMZM2G044800	13	2.73644	2.51952	1.70048	-0.228317	107
GRMZM2G044822	0	0	0	NA	NA	59
GRMZM2G044824	2	0.418913	0.716539	0.0280948	1.18471	283
GRMZM2G044832	0	0	0	NA	NA	210
GRMZM2G044834	2	0.417647	0.821833	0.0787879	1.60887	176
GRMZM2G044848	0	0	0	NA	NA	133
GRMZM2G044851	7	1.46588	1.43958	0.991657	-0.045021	446
GRMZM2G044856	0	0	0	NA	NA	38
GRMZM2G044862	9	1.89203	1.57969	5.97823	-0.44129	354
GRMZM2G044866	10	2.10565	2.5612	4.43416	0.592563	371
GRMZM2G044874	0	0	NA	NA	NA	NA
GRMZM2G044875	11	2.34784	2.1753	1.35575	-0.208006	205
GRMZM2G044882	2	0.420232	0.684848	1.07413	1.05331	346
GRMZM2G044898	0	0	0	NA	NA	78
GRMZM2G044900	14	2.953	3.6696	3.28033	0.709435	253
GRMZM2G044902	2	0.432138	0.498224	NA	0.263057	119
GRMZM2G044908	3	0.637496	0.189441	0.00475939	-1.38273	201
GRMZM2G044915	5	1.08876	0.895351	1.5	-0.422629	195
GRMZM2G044943	0	0	0	NA	NA	30
GRMZM2G044947	1	0.221297	0.177225	1.66591	-0.262853	273
GRMZM2G044963	5	1.04019	1.70906	1.47935	1.46157	90
GRMZM2G044968	0	0	0	0	NA	277
GRMZM2G044989	45	9.4236	10.0561	22.3618	0.222481	559
GRMZM2G044997	4	0.843473	1.25069	2.1178	1.03845	260
GRMZM2G045005	10	2.1022	2.23985	2.71854	0.179053	304
GRMZM2G045019	5	1.04536	1.31875	2.85015	0.597393	82
GRMZM2G045027	16	3.3463	2.83201	1.97284	-0.45524	765
GRMZM2G045031	3	0.644993	0.778522	0.0511171	0.41208	99
GRMZM2G045049	20	4.19296	6.0072	5.08305	1.32642	351
GRMZM2G045057	13	2.74359	4.27932	2.44352	1.61642	347
GRMZM2G045067	4	0.83524	0.76444	2.63576	-0.180549	154
GRMZM2G045070	17	3.55774	4.76457	7.67279	1.0147	455
GRMZM2G045082	0	0	0	NA	NA	23
GRMZM2G045084	4	0.856943	1.35542	0.640324	1.27117	214
GRMZM2G045088	5	1.0471	1.99267	1.25019	2.06619	301
GRMZM2G045090	58	12.11	21.5066	28.0695	2.60468	884
GRMZM2G045102	5	1.06784	1.09557	NA	0.0605929	135
GRMZM2G045109	2	0.419025	0.165826	0.010848	-1.00787	274
GRMZM2G045117	3	0.637364	1.11181	NA	1.46416	116
GRMZM2G045128	0	0	0	0	NA	193
GRMZM2G045135	6	1.26354	1.65942	4.97845	0.759095	223
GRMZM2G045154	10	2.1262	2.8909	0.0309653	0.994672	458
GRMZM2G045155	1	0.207531	0.507246	NA	1.78754	72
GRMZM2G045171	9	1.87681	1.29306	2.31861	-0.824757	568
GRMZM2G045178	2	0.415063	0.805383	0.9147	1.55368	130
GRMZM2G045183	2	0.419025	0.695462	0.361818	1.10037	205
GRMZM2G045185	7	1.49107	2.30892	4.16473	1.39968	257
GRMZM2G045188	2	0.421732	0.591683	0.00395083	0.676495	109
GRMZM2G045192	9	1.88082	1.06767	10.1874	-1.14889	158
GRMZM2G045215	10	2.1154	2.9406	3.29059	1.07337	253
GRMZM2G045227	4	0.864277	1.30741	0.164972	1.13005	148
GRMZM2G045236	5	1.04944	1.27337	2.12509	0.489314	464
GRMZM2G045239	6	1.27526	1.87693	2.55437	1.1537	82
GRMZM2G045241	6	1.27566	0.454373	3.62439	-1.5748	278
GRMZM2G045243	2	0.42587	0.494976	NA	0.275077	119
GRMZM2G045249	2	0.416328	0.346451	3.32952	-0.278145	283
GRMZM2G045257	3	0.640854	0.478998	0.0114353	-0.499498	213
GRMZM2G045259	7	1.47518	2.30486	2.82122	1.41994	397
GRMZM2G045270	8	1.67992	1.94386	1.25791	0.408359	126
GRMZM2G045275	14	2.9367	3.72837	5.24331	0.783758	512
GRMZM2G045278	7	1.47562	1.65219	4.103	0.302186	113
GRMZM2G045280	3	0.625124	1.00657	1.58179	1.17716	139
GRMZM2G045286	7	1.46731	1.30922	2.24192	-0.270568	113
GRMZM2G045287	3	0.64021	0.716762	0.0629508	0.236245	231
GRMZM2G045294	1	0.211494	0.436508	NA	1.34201	73
GRMZM2G045303	4	0.836506	0.770698	0.197945	-0.167817	493
GRMZM2G045314	1	0.208796	0.34899	0.0987709	0.836133	183
GRMZM2G045319	0	0	0	NA	NA	405
GRMZM2G045330	21	4.39866	6.60187	8.70995	1.54383	275
GRMZM2G045331	4	0.840889	1.74789	2.42681	2.31294	220
GRMZM2G045366	12	2.54554	3.62374	6.76184	1.21161	314
GRMZM2G045378	0	0	0	NA	NA	6
GRMZM2G045387	1	0.214445	0.0966102	0.00508475	-0.70278	123
GRMZM2G045398	2	0.424429	0.52282	NA	0.391649	126
GRMZM2G045401	0	0	0	NA	NA	26
GRMZM2G045404	8	1.72725	3.33201	2.7446	2.48288	101
GRMZM2G045421	23	4.8272	4.79239	3.7114	-0.0225245	599
GRMZM2G045428	6	1.30474	1.42024	2.01567	0.221469	327
GRMZM2G045430	9	1.91413	2.10185	2.68675	0.265231	510
GRMZM2G045431	1	0.214445	0.282486	NA	0.405805	74
GRMZM2G045433	6	1.25415	1.65755	5.68301	0.77351	218
GRMZM2G045435	13	2.72651	4.08592	5.24614	1.43083	243
GRMZM2G045467	4	0.849122	0.622745	2.62467	-0.577285	341
GRMZM2G045473	2	0.420291	0.408628	1.61161	-0.0464237	387
GRMZM2G045503	6	1.2709	2.29353	1.41802	1.96086	281
GRMZM2G045507	22	4.61863	8.3361	8.16321	2.50099	346
GRMZM2G045531	1	0.217694	0.0701299	NA	-0.880088	6
GRMZM2G045544	16	3.36616	6.23528	5.28928	2.5397	494
GRMZM2G045565	5	1.05064	1.03282	2.17135	-0.0389341	109
GRMZM2G045581	8	1.67715	1.68577	0.430322	0.0133335	214
GRMZM2G045596	9	1.93194	2.88985	1.61509	1.35341	320
GRMZM2G045638	1	0.208796	0.433275	NA	1.33882	37
GRMZM2G045645	8	1.68843	2.93234	1.50269	1.92459	241
GRMZM2G045660	0	0	0	NA	NA	62
GRMZM2G045664	4	0.841901	1.75246	0.836075	2.32202	118
GRMZM2G045668	1	0.207531	0.0285714	1.97143	-1.06734	214
GRMZM2G045675	0	0	0	NA	NA	15
GRMZM2G045678	0	0	0	NA	NA	121
GRMZM2G045686	0	0	NA	NA	NA	NA
GRMZM2G045688	2	0.416328	0.414774	0.0550505	-0.00618352	116
GRMZM2G045690	5	1.05753	1.00195	2.61834	-0.121463	160
GRMZM2G045704	1	0.217694	0.342857	NA	0.74649	302
GRMZM2G045706	1	0.225329	0.156028	NA	-0.413315	44
GRMZM2G045714	5	1.04024	0.47187	5.92635	-1.24196	499
GRMZM2G045716	13	2.72588	5.2578	5.84239	2.66495	442
GRMZM2G045720	11	2.31031	3.10379	3.57613	0.956613	294
GRMZM2G045732	0	0	0	NA	NA	8
GRMZM2G045748	5	1.08133	1.80442	1.75723	1.58004	214
GRMZM2G045753	2	0.426978	0.278059	0.0292963	-0.592775	233
GRMZM2G045779	3	0.634482	0.374504	1.94296	-0.80231	247
GRMZM2G045781	27	5.69403	7.1534	6.85584	0.818844	274
GRMZM2G045808	2	0.430629	0.972249	0.643846	2.15593	22
GRMZM2G045809	9	1.89163	1.99773	2.04167	0.149907	160
GRMZM2G045820	6	1.25817	0.824246	0.809035	-0.832038	416
GRMZM2G045834	12	2.52368	3.37718	2.54452	0.959114	245
GRMZM2G045844	7	1.49777	2.06939	0.0714286	0.978295	129
GRMZM2G045849	6	1.24904	1.42333	0.387019	0.334196	275
GRMZM2G045854	0	0	0	0	NA	553
GRMZM2G045883	3	0.642498	0.854595	NA	0.654546	205
GRMZM2G045921	3	0.665848	1.1922	NA	1.62435	94
GRMZM2G045927	4	0.84942	1.86499	NA	2.58982	170
GRMZM2G045941	9	1.89134	2.30946	0.0004662	0.590751	171
GRMZM2G045970	10	2.10691	3.34953	4.40335	1.61632	286
GRMZM2G045976	7	1.50312	2.15205	3.2684	1.1106	210
GRMZM2G045977	1	0.212935	0.0634585	NA	-0.891497	103
GRMZM2G045979	6	1.29358	1.33576	2.30006	0.0808641	161
GRMZM2G045981	7	1.51507	2.10251	0.0860404	1.00536	401
GRMZM2G045987	15	3.1421	2.29022	7.14185	-0.796178	560
GRMZM2G046002	1	0.214445	0.325424	0.0813559	0.661891	104
GRMZM2G046005	6	1.29239	1.649	3.72647	0.683797	366
GRMZM2G046011	3	0.627709	1.08545	2.39239	1.41261	50
GRMZM2G046021	3	0.639017	0.610724	2.09604	-0.0873136	356
GRMZM2G046024	5	1.06998	1.76706	1.4178	1.52321	409
GRMZM2G046025	9	1.8892	1.79312	2.27598	-0.135747	217
GRMZM2G046037	13	2.73173	4.48263	2.01605	1.84289	248
GRMZM2G046055	5	1.07173	1.69465	NA	1.36116	110
GRMZM2G046058	25	5.25047	7.01607	11.025	1.06105	364
GRMZM2G046061	1	0.208796	0.395083	NA	1.11104	124
GRMZM2G046065	3	0.626389	1.52239	1.52239	2.76511	210
GRMZM2G046070	22	4.64146	6.87213	5.13078	1.50072	260
GRMZM2G046074	1	0.214445	0.0333333	0.000564972	-1.08017	47
GRMZM2G046086	2	0.417593	0.345478	NA	-0.287054	89
GRMZM2G046088	8	1.6811	2.07924	1.20205	0.615995	144
GRMZM2G046098	4	0.861102	0.959163	0.78927	0.250065	180
GRMZM2G046101	0	0	0	NA	NA	28
GRMZM2G046111	0	0	0	NA	NA	106
GRMZM2G046143	14	2.93198	2.18573	8.00299	-0.738788	486
GRMZM2G046163	2	0.444551	0.116829	0.00401945	-1.30451	74
GRMZM2G046186	2	0.428964	0.885176	NA	1.81596	74
GRMZM2G046191	1	0.241151	0.285714	NA	0.265782	17
GRMZM2G046201	1	0.210116	0.030303	NA	-1.07243	330
GRMZM2G046231	11	2.31157	3.79295	2.39077	1.78592	115
GRMZM2G046238	6	1.25427	1.55719	0.1717	0.580852	108
GRMZM2G046244	6	1.26357	1.81166	2.65403	1.05094	163
GRMZM2G046252	0	0	0	NA	NA	95
GRMZM2G046262	7	1.52883	1.39787	NA	-0.22413	78
GRMZM2G046267	6	1.27204	1.00851	NA	-0.505324	171
GRMZM2G046274	11	2.30432	3.54391	5.51184	1.49444	249
GRMZM2G046284	4	0.83656	0.745977	1.20426	-0.230997	291
GRMZM2G046288	5	1.05161	1.52832	4.85859	1.04166	135
GRMZM2G046290	7	1.51753	2.32057	0.284935	1.37434	189
GRMZM2G046293	5	1.05484	1.76815	0.573829	1.55868	135
GRMZM2G046297	5	1.07115	2.21717	0.953304	2.50419	249
GRMZM2G046306	1	0.241151	0.157143	NA	-0.501034	9
GRMZM2G046313	4	0.844137	1.02052	2.88826	0.449801	213
GRMZM2G046316	8	1.72275	3.01313	2.33115	1.99648	466
GRMZM2G046317	2	0.421732	0.152098	NA	-1.07328	141
GRMZM2G046321	0	0	0	NA	NA	23
GRMZM2G046331	2	0.435742	0.617074	0.442938	0.721799	125
GRMZM2G046337	5	1.07328	1.447	0.211528	0.81662	141
GRMZM2G046348	4	0.839316	1.2306	1.3376	0.99781	88
GRMZM2G046353	0	0	0	NA	NA	92
GRMZM2G046355	6	1.30559	1.78972	0.156061	0.92831	226
GRMZM2G046382	0	0	NA	NA	NA	NA
GRMZM2G046392	0	0	NA	NA	NA	NA
GRMZM2G046402	7	1.46042	1.45165	4.42321	-0.0150036	437
GRMZM2G046407	23	4.84468	6.8083	9.20003	1.27043	461
GRMZM2G046438	3	0.630773	0.596687	0.0158033	-0.10519	125
GRMZM2G046443	5	1.06668	1.80205	NA	1.60687	256
GRMZM2G046447	0	0	0	NA	NA	92
GRMZM2G046458	1	0.223254	0.428571	NA	1.22454	59
GRMZM2G046459	9	1.93409	2.63854	0.0649351	0.995297	326
GRMZM2G046468	2	0.439773	0.075	NA	-1.45199	62
GRMZM2G046472	2	0.417647	0.487446	0.238976	0.277835	53
GRMZM2G046474	2	0.418913	0.474061	3.0148	0.219521	107
GRMZM2G046480	8	1.67857	0.803578	6.38713	-1.3538	354
GRMZM2G046493	2	0.420291	0.38333	1.69675	-0.147122	152
GRMZM2G046498	4	0.839203	1.25453	2.37832	1.05912	70
GRMZM2G046520	7	1.4713	1.91832	2.15454	0.765054	247
GRMZM2G046529	6	1.32349	1.10205	1.3076	-0.424604	133
GRMZM2G046532	0	0	0	NA	NA	57
GRMZM2G046537	2	0.416328	0.163987	3.72007	-1.00445	199
GRMZM2G046558	10	2.13434	2.33366	1.17653	0.259262	165
GRMZM2G046574	3	0.640854	0.509944	0.0254827	-0.403999	159
GRMZM2G046576	1	0.208796	0.463565	0.252853	1.51947	101
GRMZM2G046583	8	1.69261	1.21437	3.79426	-0.739929	392
GRMZM2G046587	4	0.832656	0.364376	5.43446	-1.19416	133
GRMZM2G046600	4	0.840757	1.02586	NA	0.472031	266
GRMZM2G046601	1	0.207531	0.496894	0.372671	1.7258	206
GRMZM2G046609	15	3.18222	4.59094	2.24025	1.3166	701
GRMZM2G046615	7	1.51054	1.94627	2.64758	0.745708	384
GRMZM2G046618	1	0.211494	0.0907738	NA	-0.71999	150
GRMZM2G046622	0	0	0	NA	NA	126
GRMZM2G046658	3	0.64059	0.701235	3.01287	0.187157	247
GRMZM2G046669	12	2.51238	3.12511	0.931813	0.688549	248
GRMZM2G046676	6	1.25978	1.54075	0.130443	0.538746	158
GRMZM2G046681	5	1.05227	1.34117	3.16468	0.631278	438
GRMZM2G046686	5	1.09538	1.2528	0.257919	0.343964	364
GRMZM2G046700	1	0.216029	0.448276	NA	1.38515	392
GRMZM2G046729	12	2.53759	4.01325	0.906949	1.65827	286
GRMZM2G046733	1	0.210116	0.388345	0.134732	1.06298	58
GRMZM2G046743	4	0.838114	0.638548	0.0443759	-0.508916	324
GRMZM2G046748	8	1.69708	2.81807	1.71319	1.73441	240
GRMZM2G046750	3	0.645216	0.601041	NA	-0.136328	114
GRMZM2G046753	1	0.238005	0.102418	0.0056899	-0.808658	83
GRMZM2G046755	29	6.0833	7.24554	15.7415	0.611589	519
GRMZM2G046776	8	1.68542	1.89031	0.0422265	0.317005	378
GRMZM2G046782	4	0.844083	1.03733	0.160671	0.492791	190
GRMZM2G046784	3	0.630407	0.312652	1.99344	-0.980613	218
GRMZM2G046804	5	1.0453	0.653218	7.10798	-0.856752	239
GRMZM2G046816	2	0.417593	0.192713	1.98639	-0.895142	306
GRMZM2G046824	0	0	0	NA	NA	20
GRMZM2G046829	4	0.840523	0.534249	1.57995	-0.78103	131
GRMZM2G046838	16	3.36754	4.99342	5.11682	1.4392	310
GRMZM2G046841	9	1.89616	1.44915	0.020979	-0.631571	105
GRMZM2G046846	4	0.844661	0.852878	2.24034	0.0209538	434
GRMZM2G046849	9	1.89692	2.16676	1.70916	0.381255	266
GRMZM2G046861	15	3.13492	5.54108	6.76842	2.24882	396
GRMZM2G046870	5	1.04415	1.96041	1.79122	2.00213	163
GRMZM2G046885	4	0.857854	1.4566	0.549312	1.52686	150
GRMZM2G046888	9	1.88738	3.57783	4.10373	2.38839	398
GRMZM2G046900	11	2.30658	3.59169	2.18484	1.54931	146
GRMZM2G046909	14	2.92756	3.26231	4.50476	0.331405	220
GRMZM2G046911	7	1.49234	2.44266	1.86158	1.62641	265
GRMZM2G046916	5	1.07622	0.794174	0.0414216	-0.616305	121
GRMZM2G046919	26	5.43064	8.21397	5.63247	1.61527	369
GRMZM2G046924	10	2.09732	3.44615	3.08695	1.75447	159
GRMZM2G046932	25	5.23776	5.08592	15.2966	-0.0912479	477
GRMZM2G046933	1	0.221297	0.237557	NA	0.0969737	121
GRMZM2G046952	5	1.0641	1.67535	0.642147	1.33568	148
GRMZM2G046961	1	0.208796	0.500439	NA	1.73939	143
GRMZM2G046966	0	0	0	NA	NA	26
GRMZM2G046968	9	1.8861	2.15577	2.41065	0.380998	308
GRMZM2G046994	4	0.858152	1.50116	NA	1.63974	347
GRMZM2G047002	3	0.634545	0.651119	1.04352	0.0511468	124
GRMZM2G047018	8	1.66674	1.69484	4.20913	0.0434636	100
GRMZM2G047019	1	0.210116	0.0881119	0.0041958	-0.727647	201
GRMZM2G047021	2	0.426145	0.795011	0.0871143	1.46828	36
GRMZM2G047028	4	0.856618	1.79642	0	2.3966	287
GRMZM2G047038	18	3.79201	6.48721	6.92058	2.15807	610
GRMZM2G047042	0	0	0	0	NA	234
GRMZM2G047055	3	0.622594	0.449275	1.75611	-0.534873	256
GRMZM2G047065	6	1.25283	2.16532	0.823577	1.74967	72
GRMZM2G047093	10	2.11944	1.39399	0.164782	-0.943625	575
GRMZM2G047095	5	1.04829	1.16473	1.40388	0.25443	333
GRMZM2G047097	5	1.04277	0.849731	0.263991	-0.421817	73
GRMZM2G047104	9	1.88318	3.9915	2.92589	2.97879	227
GRMZM2G047124	0	0	0	NA	NA	66
GRMZM2G047128	0	0	0	NA	NA	1
GRMZM2G047129	6	1.2809	1.53957	0.0954802	0.495984	268
GRMZM2G047131	0	0	0	NA	NA	143
GRMZM2G047138	9	1.87669	2.41576	3.10741	0.761642	221
GRMZM2G047139	1	0.211494	0.5	0.642857	1.72068	261
GRMZM2G047143	7	1.46577	2.33815	0.75312	1.49301	135
GRMZM2G047152	29	6.0669	4.92666	10.9164	-0.60001	761
GRMZM2G047153	4	0.864351	1.55779	0.784029	1.76835	241
GRMZM2G047161	3	0.633104	0.992078	2.22502	1.10782	158
GRMZM2G047167	24	5.01931	4.46111	4.99546	-0.347822	492
GRMZM2G047175	3	0.637639	1.06186	1.12136	1.30918	125
GRMZM2G047178	4	0.836794	1.27812	0.329958	1.12544	393
GRMZM2G047187	19	4.10625	4.98391	1.50434	0.670809	317
GRMZM2G047204	10	2.10624	1.88082	3.29918	-0.29322	154
GRMZM2G047208	3	0.652218	0.836304	NA	0.568104	134
GRMZM2G047214	4	0.846722	1.08285	1.08334	0.602162	305
GRMZM2G047219	3	0.636055	0.576469	2.16068	-0.183885	217
GRMZM2G047223	3	0.63908	0.621189	0.000528821	-0.0552116	105
GRMZM2G047238	7	1.46714	1.77154	1.082	0.520961	149
GRMZM2G047255	11	2.37138	2.44558	0.468158	0.0894612	301
GRMZM2G047262	10	2.1178	2.81375	1.5182	0.905252	364
GRMZM2G047265	4	0.850621	0.987382	2.21962	0.348755	210
GRMZM2G047274	6	1.26587	2.25213	4.14752	1.89113	288
GRMZM2G047296	6	1.29024	2.23796	0.103649	1.81724	161
GRMZM2G047298	6	1.26514	1.87719	0.281387	1.17359	180
GRMZM2G047299	5	1.05959	1.24911	4.72953	0.414112	102
GRMZM2G047310	10	2.11028	2.9927	4.09206	1.14779	432
GRMZM2G047316	6	1.26237	1.40083	0.839368	0.265496	156
GRMZM2G047319	4	0.840523	0.766433	0	-0.188937	526
GRMZM2G047321	2	0.428243	0.537628	0.100502	0.435409	114
GRMZM2G047324	1	0.221297	0.0754148	NA	-0.870059	62
GRMZM2G047325	0	0	0	NA	NA	10
GRMZM2G047347	4	0.832656	1.08808	0.89814	0.651356	65
GRMZM2G047365	12	2.53514	2.73993	0.712261	0.230129	267
GRMZM2G047368	6	1.27735	2.21546	NA	1.7988	150
GRMZM2G047370	8	1.68416	2.16338	3.73363	0.741453	263
GRMZM2G047372	0	0	0	NA	NA	158
GRMZM2G047376	2	0.429563	0.613274	0.100629	0.731265	212
GRMZM2G047377	2	0.420232	0.570629	0.167832	0.598661	200
GRMZM2G047384	4	0.856943	1.74458	0.33986	2.26357	70
GRMZM2G047404	9	1.88113	2.46925	4.74922	0.830941	268
GRMZM2G047409	2	0.450657	0.161348	NA	-1.15161	100
